ngram,frequency
"('privacy', 'policy')",100
"('end', 'current')",90
"('voice', 'recorder')",86
"('current', 'period')",82
"('speech', 'text')",81
"('free', 'trial')",67
"('terms', 'use')",65
"('hours', 'end')",63
"('itunes', 'account')",63
"('high', 'quality')",58
"('account', 'settings')",57
"('policy', 'https')",57
"('least', 'hours')",55
"('auto', 'renewal')",54
"('voice', 'text')",51
"('audio', 'files')",47
"('within', 'hours')",46
"('real', 'time')",41
"('app', 'store')",40
"('trial', 'period')",40
"('use', 'https')",40
"('audio', 'file')",39
"('auto', 'renew')",38
"('subscription', 'automatically')",38
"('account', 'charged')",37
"('audio', 'recorder')",37
"('charged', 'itunes')",37
"('payment', 'charged')",37
"('prior', 'end')",37
"('automatically', 'renews')",36
"('hours', 'prior')",36
"('renewal', 'within')",36
"('renews', 'unless')",36
"('turned', 'least')",36
"('unless', 'auto')",36
"('charged', 'renewal')",35
"('settings', 'purchase')",35
"('confirmation', 'purchase')",33
"('voice', 'memos')",33
"('audio', 'video')",31
"('easy', 'use')",31
"('iphone', 'ipad')",31
"('renew', 'turned')",31
"('audio', 'text')",30
"('account', 'confirmation')",29
"('period', 'account')",29
"('purchase', 'subscription')",29
"('unused', 'portion')",29
"('voice', 'recording')",29
"('karaoke', 'songs')",28
"('portion', 'free')",28
"('renewal', 'may')",28
"('subscription', 'period')",27
"('apple', 'watch')",26
"('audio', 'recording')",26
"('file', 'sharing')",26
"('karaoke', 'app')",26
"('may', 'turned')",26
"('terms', 'service')",26
"('may', 'managed')",25
"('turned', 'going')",25
"('voice', 'memo')",25
"('bài', 'hát')",24
"('sing', 'karaoke')",24
"('managed', 'user')",23
"('speech', 'recognition')",23
"('subscriptions', 'may')",23
"('transcribe', 'voice')",23
"('user', 'auto')",23
"('có', 'thể')",22
"('recording', 'app')",22
"('favorite', 'songs')",21
"('going', 'user')",21
"('google', 'drive')",21
"('quality', 'audio')",21
"('text', 'app')",21
"('text', 'speech')",21
"('user', 'account')",21
"('forfeited', 'user')",20
"('recorder', 'app')",20
"('transcribe', 'audio')",20
"('수', '있습니다')",20
"('cost', 'renewal')",19
"('current', 'subscription')",19
"('hát', 'karaoke')",19
"('purchases', 'subscription')",19
"('record', 'audio')",19
"('sing', 'along')",19
"('unlimited', 'recording')",19
"('user', 'purchases')",19
"('voice', 'notes')",19
"('voice', 'recordings')",19
"('ứng', 'dụng')",19
"('background', 'recording')",18
"('bạn', 'bè')",18
"('mp', 'wav')",18
"('service', 'https')",18
"('social', 'media')",18
"('apple', 'id')",17
"('https', 'wwwapplecom')",17
"('internet', 'services')",17
"('itunes', 'dev')",17
"('legal', 'internet')",17
"('record', 'voice')",17
"('services', 'itunes')",17
"('share', 'recordings')",17
"('wwwapplecom', 'legal')",17
"('backing', 'tracks')",16
"('dev', 'stdeula')",16
"('offered', 'forfeited')",16
"('period', 'offered')",16
"('policy', 'http')",16
"('app', 'purchase')",15
"('day', 'free')",15
"('noise', 'reduction')",15
"('subscription', 'price')",15
"('user', 'friendly')",15
"('voice', 'messages')",15
"('convert', 'audio')",14
"('của', 'bạn')",14
"('dropbox', 'google')",14
"('icloud', 'drive')",14
"('identify', 'cost')",14
"('period', 'identify')",14
"('recorded', 'audio')",14
"('recording', 'playback')",14
"('songs', 'sing')",14
"('sound', 'recorder')",14
"('start', 'recording')",14
"('terms', 'conditions')",14
"('active', 'subscription')",13
"('anytime', 'anywhere')",13
"('audio', 'formats')",13
"('audio', 'recordings')",13
"('de', 'voz')",13
"('kết', 'nối')",13
"('period', 'manage')",13
"('record', 'edit')",13
"('recording', 'time')",13
"('turn', 'auto')",13
"('wi', 'fi')",13
"('app', 'allows')",12
"('bạn', 'có')",12
"('call', 'recording')",12
"('contact', 'us')",12
"('export', 'import')",12
"('formats', 'mp')",12
"('going', 'account')",12
"('id', 'account')",12
"('key', 'features')",12
"('kết', 'bạn')",12
"('live', 'transcribe')",12
"('playback', 'speed')",12
"('record', 'transcribe')",12
"('subscription', 'publication')",12
"('text', 'voice')",12
"('user', 'interface')",12
"('voice', 'records')",12
"('x', 'x')",12
"('audio', 'effects')",11
"('cancel', 'subscription')",11
"('chia', 'sẻ')",11
"('cutting', 'edge')",11
"('em', 'texto')",11
"('import', 'audio')",11
"('interviews', 'lectures')",11
"('making', 'easy')",11
"('monthly', 'subscription')",11
"('period', 'forfeited')",11
"('personal', 'notes')",11
"('privacy', 'terms')",11
"('purchase', 'subscriptions')",11
"('recordings', 'text')",11
"('renewal', 'subscriptions')",11
"('song', 'ca')",11
"('spoken', 'words')",11
"('support', 'languages')",11
"('terms', 'privacy')",11
"('unlimited', 'access')",11
"('use', 'app')",11
"('use', 'http')",11
"('voice', 'record')",11
"('wide', 'range')",11
"('app', 'also')",10
"('app', 'record')",10
"('audio', 'quality')",10
"('automatically', 'renew')",10
"('convert', 'text')",10
"('de', 'l')",10
"('files', 'text')",10
"('follow', 'us')",10
"('grinta', 'karaoke')",10
"('learn', 'sing')",10
"('meetings', 'interviews')",10
"('new', 'songs')",10
"('purchase', 'unused')",10
"('record', 'share')",10
"('store', 'account')",10
"('subscription', 'subscription')",10
"('subscriptions', 'automatically')",10
"('time', 'purchase')",10
"('transcript', 'app')",10
"('use', 'voice')",10
"('수', '있어요')",10
"('advanced', 'features')",9
"('apple', 'app')",9
"('artificial', 'intelligence')",9
"('audio', 'format')",9
"('audio', 'memos')",9
"('call', 'recorder')",9
"('canceled', 'least')",9
"('convert', 'voice')",9
"('docsgooglecom', 'document')",9
"('edit', 'usp')",9
"('facebook', 'twitter')",9
"('got', 'covered')",9
"('hip', 'hop')",9
"('https', 'docsgooglecom')",9
"('https', 'wwwfacebookcom')",9
"('internet', 'connection')",9
"('itunes', 'file')",9
"('keep', 'track')",9
"('khz', 'khz')",9
"('manage', 'subscriptions')",9
"('miễn', 'phí')",9
"('note', 'taking')",9
"('please', 'visit')",9
"('publication', 'applicable')",9
"('recognition', 'technology')",9
"('recorder', 'plus')",9
"('recording', 'audio')",9
"('save', 'time')",9
"('simple', 'easy')",9
"('sing', 'heart')",9
"('singing', 'app')",9
"('sound', 'effects')",9
"('text', 'notes')",9
"('trim', 'cut')",9
"('unless', 'canceled')",9
"('using', 'wifi')",9
"('usp', 'sharing')",9
"('via', 'itunes')",9
"('wav', 'caf')",9
"('yêu', 'thích')",9
"('ai', 'technology')",8
"('allowed', 'active')",8
"('audio', 'player')",8
"('auto', 'renewing')",8
"('automatic', 'renewal')",8
"('background', 'music')",8
"('best', 'voice')",8
"('bản', 'thu')",8
"('cancellation', 'current')",8
"('charged', 'apple')",8
"('de', 'la')",8
"('edit', 'audio')",8
"('every', 'month')",8
"('feel', 'free')",8
"('file', 'management')",8
"('file', 'via')",8
"('fine', 'tune')",8
"('full', 'screen')",8
"('giao', 'lưu')",8
"('giọng', 'hát')",8
"('hát', 'của')",8
"('karaoke', 'machine')",8
"('karaoke', 'one')",8
"('lecture', 'transcript')",8
"('mp', 'aac')",8
"('multiple', 'languages')",8
"('music', 'library')",8
"('music', 'videos')",8
"('one', 'tap')",8
"('period', 'subscriptions')",8
"('period', 'unused')",8
"('phone', 'calls')",8
