word,frequency
notes,667
app,403
use,367
create,248
ideas,234
share,231
note,227
text,226
subscription,212
drawing,212
draw,189
pdf,183
features,177
paper,176
whiteboard,169
documents,166
mind,163
https,158
free,157
images,149
support,141
time,140
one,136
write,129
like,128
ipad,127
privacy,126
writing,126
work,125
color,125
add,120
terms,118
new,117
account,116
export,113
save,109
easy,109
files,108
tools,107
using,105
also,104
pen,102
simple,100
apple,100
get,97
edit,97
take,96
taking,96
make,95
organize,95
canvas,95
tool,95
us,93
sync,92
iphone,90
digital,90
pencil,89
mode,89
shapes,87
period,86
automatically,85
want,85
import,85
maps,84
pages,83
page,82
devices,81
content,81
need,80
map,79
data,79
end,79
real,78
device,78
policy,78
current,77
purchase,76
colors,76
search,75
thoughts,74
experience,74
powerful,73
capture,73
please,73
easily,73
photos,72
image,72
board,71
document,71
drawings,71
access,70
icloud,70
help,70
cloud,70
anywhere,67
screen,66
pdfs,65
choose,64
team,64
different,64
way,63
quickly,63
hours,62
notebook,62
open,62
web,62
sketch,62
multiple,61
collaborate,61
unlimited,61
pro,61
even,60
find,59
available,58
itunes,58
full,58
view,58
renewal,58
tasks,57
etc,57
others,57
collaboration,57
sharing,57
handwriting,57
auto,57
notebooks,56
email,55
including,55
settings,55
service,55
line,54
audio,54
charged,54
without,53
across,52
manage,52
annotate,52
friends,51
information,51
supports,51
file,50
best,50
editing,50
