app_id,unified_app_id,app_name,app_category,worldwide_release,initial_release,app_size,app_lang,multihoming,paid,in_app_purchases,app_version,app_version_date,release_note,dummy_1,dummy_2,dummy_3,dummy_4,dummy_5,dummy_6,dummy_7,dummy_8
1509262785,0,Deer Todo MindMap Note,Productivity,2020-05-07,2020-05-07,5.14,3,0,0,1,1.2.9,2021-08-21,1. Optimize the style of the root node of the mind map 2. Fix the problem of wrong sorting,0,0,0,0,0,0,0,0
1509262785,0,Deer Todo MindMap Note,Productivity,2020-05-07,2020-05-07,5.14,3,0,0,1,1.2.8,2021-08-16,1. The mind map supports the left node 2. Optimize the highlighting effect of rich text 3. Optimize the text effect of the mind map,0,0,0,0,0,0,0,0
1509262785,0,Deer Todo MindMap Note,Productivity,2020-05-07,2020-05-07,5.14,3,0,0,1,1.2.7,2021-08-13,1. The rich text title is displayed in the mind map 2. Improve data stability 3. Optimize node selection animation 4. Fix some logic errors when task flow is dragged and dropped,0,0,0,0,0,0,0,0
1509262785,0,Deer Todo MindMap Note,Productivity,2020-05-07,2020-05-07,5.14,3,0,0,1,1.2.6,2021-08-12,1. Rich text is displayed in the mind map 2. Improve data stability 3. Fix some problems with widget,0,0,0,0,0,0,0,0
1509262785,0,Deer Todo MindMap Note,Productivity,2020-05-07,2020-05-07,5.14,3,0,0,1,1.2.5,2021-07-22,Fix the problem of iCloud sync error Optimize localized storage,0,0,0,0,0,0,0,0
1509262785,0,Deer Todo MindMap Note,Productivity,2020-05-07,2020-05-07,5.14,3,0,0,1,1.2.4,2021-07-20,Added the ability to export the mind map to PNG or PDF. Optimized the animation of dragging nodes in the mind map.,0,0,0,0,0,0,0,0
1509262785,0,Deer Todo MindMap Note,Productivity,2020-05-07,2020-05-07,5.14,3,0,0,1,1.2.3,2021-07-16,Optimized the animation of the mind map page Optimized the synchronization logic of iCloud Fixed the problem of cutting failure on Mac Fixed the problem of pressing the Enter key to wrap when selecting text in Chinese Japanese Korean on Mac Fixed the problem of inaccurate rich text status on Mac,0,0,0,0,0,0,0,0
1509262785,0,Deer Todo MindMap Note,Productivity,2020-05-07,2020-05-07,5.14,3,0,0,1,1.2.2,2021-07-08,1. Newly added shortcut key function to support fast rich text editing and switching. 2. Added markdown syntax support. 3. Fix the problem of errors when inputting Chinese Japanese and Korean characters when selecting the text. 4. Optimize the settings page.,0,0,0,0,0,0,0,0
1509262785,0,Deer Todo MindMap Note,Productivity,2020-05-07,2020-05-07,5.14,3,0,0,1,1.2.1,2021-07-03,Fix the problem that may cause a crash when editing,0,0,0,0,0,0,0,0
1509262785,0,Deer Todo MindMap Note,Productivity,2020-05-07,2020-05-07,5.14,3,0,0,1,1.2,2021-07-01,Add rich text function to the details page,0,0,0,0,0,0,0,0
