ngram,frequency
"('least', 'hours', 'end', 'current')",64
"('hours', 'prior', 'end', 'current')",56
"('within', 'hours', 'prior', 'end')",52
"('hours', 'end', 'current', 'period')",51
"('prior', 'end', 'current', 'period')",51
"('payment', 'charged', 'itunes', 'account')",42
"('subscription', 'automatically', 'renews', 'unless')",42
"('itunes', 'account', 'confirmation', 'purchase')",41
"('account', 'charged', 'renewal', 'within')",40
"('charged', 'itunes', 'account', 'confirmation')",40
"('charged', 'renewal', 'within', 'hours')",40
"('renewal', 'within', 'hours', 'prior')",40
"('auto', 'renew', 'turned', 'least')",39
"('period', 'account', 'charged', 'renewal')",39
"('turned', 'least', 'hours', 'end')",39
"('unless', 'auto', 'renew', 'turned')",39
"('renew', 'turned', 'least', 'hours')",38
"('current', 'period', 'account', 'charged')",35
"('end', 'current', 'period', 'account')",35
"('account', 'confirmation', 'purchase', 'subscription')",32
"('automatically', 'renews', 'unless', 'auto')",31
"('confirmation', 'purchase', 'subscription', 'automatically')",31
"('unused', 'portion', 'free', 'trial')",31
"('auto', 'renewal', 'may', 'turned')",30
"('https', 'wwwapplecom', 'legal', 'internet')",28
"('internet', 'services', 'itunes', 'dev')",28
"('legal', 'internet', 'services', 'itunes')",28
"('services', 'itunes', 'dev', 'stdeula')",28
"('wwwapplecom', 'legal', 'internet', 'services')",28
"('purchase', 'subscription', 'automatically', 'renews')",27
"('renewal', 'may', 'turned', 'going')",27
"('renews', 'unless', 'auto', 'renew')",27
"('end', 'current', 'subscription', 'period')",25
"('portion', 'free', 'trial', 'period')",24
"('cognitive', 'behavioral', 'therapy', 'cbt')",23
"('hours', 'end', 'current', 'subscription')",23
"('free', 'trial', 'period', 'offered')",21
"('privacy', 'policy', 'terms', 'use')",21
"('trial', 'period', 'offered', 'forfeited')",21
"('current', 'period', 'identify', 'cost')",20
"('end', 'current', 'period', 'identify')",20
"('period', 'identify', 'cost', 'renewal')",20
"('purchase', 'unused', 'portion', 'free')",20
"('subscriptions', 'may', 'managed', 'user')",20
"('going', 'user', 'account', 'settings')",19
"('managed', 'user', 'auto', 'renewal')",19
"('may', 'managed', 'user', 'auto')",19
"('may', 'turned', 'going', 'user')",19
"('turned', 'going', 'user', 'account')",19
"('user', 'account', 'settings', 'purchase')",19
"('user', 'auto', 'renewal', 'may')",19
"('account', 'settings', 'purchase', 'unused')",18
"('cost', 'renewal', 'subscriptions', 'may')",18
"('identify', 'cost', 'renewal', 'subscriptions')",18
"('renewal', 'subscriptions', 'may', 'managed')",18
"('settings', 'purchase', 'unused', 'portion')",18
"('terms', 'service', 'privacy', 'policy')",18
"('face', 'id', 'touch', 'id')",16
"('forfeited', 'user', 'purchases', 'subscription')",16
"('policy', 'terms', 'use', 'https')",16
"('terms', 'use', 'https', 'wwwapplecom')",16
"('use', 'https', 'wwwapplecom', 'legal')",16
"('offered', 'forfeited', 'user', 'purchases')",15
"('period', 'offered', 'forfeited', 'user')",15
"('purchases', 'subscription', 'publication', 'applicable')",15
"('user', 'purchases', 'subscription', 'publication')",15
"('actual', 'charges', 'may', 'converted')",14
"('charges', 'may', 'converted', 'local')",14
"('converted', 'local', 'currency', 'depending')",14
"('local', 'currency', 'depending', 'country')",14
"('may', 'converted', 'local', 'currency')",14
"('countries', 'may', 'vary', 'actual')",13
"('currency', 'depending', 'country', 'residence')",13
"('may', 'vary', 'actual', 'charges')",13
"('privacy', 'policy', 'terms', 'service')",13
"('terms', 'use', 'privacy', 'policy')",13
"('vary', 'actual', 'charges', 'may')",13
"('canceled', 'least', 'hours', 'end')",12
"('subscription', 'automatically', 'renew', 'unless')",12
"('unless', 'canceled', 'least', 'hours')",12
