ngram,frequency
"('free', 'trial', 'period')",150
"('end', 'current', 'period')",134
"('privacy', 'policy', 'https')",103
"('czech', 'danish', 'dutch')",95
"('least', 'hours', 'end')",91
"('croatian', 'czech', 'danish')",81
"('charged', 'itunes', 'account')",80
"('danish', 'dutch', 'english')",79
"('hours', 'end', 'current')",79
"('portion', 'free', 'trial')",77
"('unused', 'portion', 'free')",77
"('turned', 'least', 'hours')",76
"('auto', 'renew', 'turned')",74
"('unless', 'auto', 'renew')",74
"('renew', 'turned', 'least')",73
"('prior', 'end', 'current')",69
"('account', 'charged', 'renewal')",68
"('hours', 'prior', 'end')",68
"('charged', 'renewal', 'within')",67
"('german', 'greek', 'gujarati')",66
"('free', 'trial', 'subscription')",65
"('persian', 'polish', 'portuguese')",65
"('renewal', 'within', 'hours')",65
"('itunes', 'account', 'confirmation')",64
"('trial', 'period', 'offered')",64
"('within', 'hours', 'prior')",64
"('account', 'confirmation', 'purchase')",62
"('galician', 'georgian', 'german')",62
"('georgian', 'german', 'greek')",62
"('greek', 'gujarati', 'haitian')",62
"('italian', 'japanese', 'javanese')",62
"('gujarati', 'haitian', 'creole')",61
"('period', 'offered', 'forfeited')",61
"('telugu', 'thai', 'turkish')",61
"('japanese', 'javanese', 'kannada')",60
"('latin', 'latvian', 'lithuanian')",60
"('irish', 'italian', 'japanese')",59
"('lao', 'latin', 'latvian')",59
"('account', 'settings', 'purchase')",58
"('haitian', 'creole', 'hausa')",58
"('hebrew', 'hindi', 'hmong')",58
"('indonesian', 'irish', 'italian')",58
"('payment', 'charged', 'itunes')",58
"('arabic', 'armenian', 'azerbaijani')",57
"('basque', 'belarusian', 'bengali')",57
"('filipino', 'finnish', 'french')",57
"('simplified', 'chinese', 'traditional')",57
"('bengali', 'bosnian', 'bulgarian')",56
"('javanese', 'kannada', 'kazakh')",56
"('maltese', 'maori', 'marathi')",56
"('slovak', 'slovenian', 'somali')",56
"('hindi', 'hmong', 'hungarian')",55
"('sundanese', 'swahili', 'swedish')",55
