ngram,frequency
"('movies', 'tv', 'shows')",92
"('privacy', 'policy', 'https')",56
"('least', 'hours', 'end')",36
"('nielsen', 'tv', 'ratings')",36
"('app', 'features', 'nielsen')",35
"('hours', 'end', 'current')",35
"('allow', 'contribute', 'market')",33
"('contribute', 'market', 'research')",33
"('features', 'nielsen', 'proprietary')",33
"('measurement', 'software', 'allow')",33
"('nielsen', 'proprietary', 'measurement')",33
"('proprietary', 'measurement', 'software')",33
"('software', 'allow', 'contribute')",33
"('end', 'current', 'period')",31
"('account', 'charged', 'renewal')",28
"('hours', 'prior', 'end')",26
"('prior', 'end', 'current')",26
"('end', 'current', 'cycle')",24
"('like', 'nielsen', 'tv')",24
"('market', 'research', 'like')",24
"('research', 'like', 'nielsen')",24
"('wwwnielsencom', 'digitalprivacy', 'information')",23
"('terms', 'use', 'https')",22
"('corporatediscoverycom', 'privacy', 'policy')",20
"('http', 'wwwnielsencom', 'digitalprivacy')",20
"('https', 'corporatediscoverycom', 'privacy')",20
"('please', 'visit', 'http')",20
"('privacy', 'notice', 'https')",19
"('terms', 'service', 'https')",19
"('auto', 'renewing', 'subscription')",18
"('free', 'pay', 'tv')",18
"('https', 'wwwnbcuniversalcom', 'privacy')",18
"('notice', 'https', 'corporatediscoverycom')",18
"('pay', 'tv', 'provider')",18
"('pay', 'tv', 'subscription')",18
"('stream', 'live', 'tv')",18
"('automatically', 'renew', 'unless')",17
"('portion', 'free', 'trial')",17
"('unused', 'portion', 'free')",17
"('turned', 'least', 'hours')",16
"('charged', 'renewal', 'within')",15
"('please', 'note', 'app')",15
"('renewal', 'within', 'hours')",15
"('subscriptions', 'automatically', 'renew')",15
"('tv', 'shows', 'movies')",15
"('visit', 'http', 'wwwnielsencom')",15
"('watch', 'full', 'episodes')",15
"('auto', 'renew', 'turned')",14
"('california', 'privacy', 'rights')",14
"('charged', 'itunes', 'account')",14
"('link', 'pay', 'tv')",14
"('policy', 'california', 'privacy')",14
"('privacy', 'policy', 'california')",14
"('renewal', 'least', 'hours')",14
"('shows', 'watch', 'live')",14
"('sign', 'tv', 'provider')",14
"('tv', 'provider', 'watch')",14
"('unless', 'auto', 'renew')",14
"('within', 'hours', 'prior')",14
"('account', 'confirmation', 'purchase')",13
"('charged', 'renewal', 'least')",13
"('full', 'episodes', 'favorite')",13
"('tv', 'ratings', 'please')",13
"('access', 'features', 'content')",12
"('account', 'may', 'managed')",12
"('account', 'settings', 'initial')",12
"('app', 'app', 'subscriptions')",12
"('app', 'pricing', 'vary')",12
"('app', 'subscriptions', 'automatically')",12
"('automatically', 'renew', 'end')",12
