word,frequency
audio,543
app,494
voice,483
recording,433
text,417
karaoke,320
subscription,311
record,291
recordings,260
sing,218
songs,216
use,215
https,204
recorder,186
free,182
features,179
time,177
account,175
files,170
transcribe,167
support,166
period,166
privacy,165
terms,160
share,160
file,156
singing,152
speech,151
music,149
notes,148
auto,146
de,136
transcription,135
itunes,129
easy,128
quality,125
renewal,124
song,123
purchase,122
hours,120
sound,117
user,114
end,112
current,110
video,110
charged,109
policy,102
automatically,102
mp,98
bạn,97
using,96
new,94
high,92
access,92
one,90
device,90
settings,89
like,86
languages,86
hát,86
playback,86
sharing,86
also,85
save,83
export,82
trial,82
convert,82
via,81
want,81
subscriptions,79
friends,79
us,79
apple,79
edit,77
make,75
create,74
unlimited,74
may,73
add,73
download,70
get,70
iphone,69
easily,69
format,69
need,68
live,67
turned,66
play,66
service,66
background,65
experience,64
import,63
formats,62
choose,61
users,61
pitch,60
language,60
favorite,60
http,59
within,59
ipad,58
best,58
records,57
memos,57
wav,57
without,56
email,56
unless,55
apps,55
available,55
search,55
effects,55
least,55
application,54
even,54
technology,54
multiple,53
pro,53
phone,52
enjoy,52
professional,52
real,52
store,52
find,52
speed,52
meetings,51
en,51
simple,51
renew,50
ai,50
feature,50
