ngram,frequency
"('privacy', 'policy')",220
"('mental', 'health')",217
"('end', 'current')",127
"('policy', 'https')",125
"('terms', 'use')",124
"('itunes', 'account')",114
"('current', 'period')",108
"('self', 'care')",105
"('every', 'day')",89
"('account', 'settings')",87
"('mood', 'tracker')",86
"('least', 'hours')",81
"('use', 'https')",81
"('hours', 'end')",80
"('journal', 'entries')",78
"('free', 'trial')",76
"('terms', 'service')",71
"('within', 'hours')",66
"('subscription', 'automatically')",64
"('diary', 'app')",63
"('auto', 'renewal')",61
"('account', 'charged')",59
"('charged', 'itunes')",58
"('prior', 'end')",57
"('hours', 'prior')",56
"('personal', 'growth')",56
"('auto', 'renew')",55
"('gratitude', 'journal')",54
"('track', 'mood')",54
"('payment', 'charged')",52
"('confirmation', 'purchase')",51
"('purchase', 'subscription')",48
"('automatically', 'renews')",47
"('easy', 'use')",47
"('account', 'confirmation')",46
"('keep', 'track')",46
"('settings', 'purchase')",46
"('subscription', 'period')",46
"('charged', 'renewal')",45
"('daily', 'journal')",45
"('secret', 'diary')",44
"('trial', 'period')",44
"('unless', 'auto')",44
"('bullet', 'journal')",43
"('renews', 'unless')",43
"('turned', 'least')",43
"('current', 'subscription')",42
"('journal', 'app')",42
"('journaling', 'app')",42
"('terms', 'conditions')",42
"('mood', 'diary')",41
"('renewal', 'within')",41
"('service', 'https')",41
"('journal', 'diary')",40
"('diary', 'journal')",39
"('period', 'account')",39
"('behavioral', 'therapy')",38
"('renew', 'turned')",38
"('thoughts', 'feelings')",38
"('cognitive', 'behavioral')",37
"('daily', 'life')",37
"('policy', 'terms')",37
"('face', 'id')",36
"('mood', 'tracking')",36
"('add', 'photos')",34
"('track', 'progress')",33
"('dark', 'mode')",32
"('look', 'back')",32
"('unused', 'portion')",32
"('diary', 'entries')",31
"('keep', 'diary')",31
"('portion', 'free')",31
"('renewal', 'may')",30
"('user', 'friendly')",30
"('may', 'turned')",29
"('contact', 'us')",28
"('iphone', 'ipad')",28
"('self', 'discovery')",28
"('stress', 'anxiety')",28
"('touch', 'id')",28
"('turned', 'going')",28
"('auto', 'renewing')",27
"('may', 'managed')",27
"('mood', 'journal')",27
"('private', 'diary')",27
"('self', 'reflection')",27
"('automatically', 'renew')",26
"('cost', 'renewal')",26
"('personal', 'diary')",26
