sep=,
From: 2012-02-22,Store: itunes,Cid: 188320,To: 2024-02-22,Ext_id: 6443742539
Submission date,AppID,AppName,Country,Review Language,Version,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Reply Delta,Developer Reply,User,Tags,Categories,Updated,Semantic Tags,Semantic Categories,Semantic Sentiment,Notes,Likes,Dislikes,Link,Permalink,AF Link
2024-02-20T14:14:12,6443742539,Freeform,sg,en,1.1,HERINE CRYSTAL,5,Thank you,Thank you a million freedom company,,,,,,,,,2024-02-22T02:32:52,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/6443742539/ios/ratingsResponses?reviewId=10960044493,https://appfollow.io/app/74039/review/244690303?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565764?review_id=244690303
2024-02-20T13:08:01,6443742539,Freeform,de,en,1.1,ErickaAckles,1,Board deletion,"My board got deleted out of the blue, I cannot recover it and I had information from a training completely lost.",,,,,,,,,2024-02-22T02:32:36,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/6443742539/ios/ratingsResponses?reviewId=10959838588,https://appfollow.io/app/74039/review/244689073?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565764?review_id=244689073
2024-02-20T09:13:30,6443742539,Freeform,in,en,1.1,ReviewWriter116y,4,Best app for students but,"Best app for making Mind maps.
But it lacks the ability to allow users to organise boards in folders.
Which is why it is still behind some other apps.",,,,,,,,,2024-02-22T02:32:43,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/6443742539/ios/ratingsResponses?reviewId=10959238330,https://appfollow.io/app/74039/review/244689727?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565764?review_id=244689727
2024-02-20T08:56:20,6443742539,Freeform,sg,en,1.1,Chernelia sin,5,I love it,Bc it is so fun and I can rest a literally a little more then 4min,,,,,,,,,2024-02-22T02:32:52,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/6443742539/ios/ratingsResponses?reviewId=10959199605,https://appfollow.io/app/74039/review/244690304?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565764?review_id=244690304
2024-02-20T08:27:26,6443742539,Freeform,za,en,1.1,ntoni ni,1,I cannot edit a document,It’s not user friendly and I can’t edit doc,,,,,,,,,2024-02-22T02:32:53,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/6443742539/ios/ratingsResponses?reviewId=10959135658,https://appfollow.io/app/74039/review/244690504?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565764?review_id=244690504
2024-02-20T05:11:22,6443742539,Freeform,us,en,1.1,Stewiee griff,2,Review,"It would be nice if I could convert it to a pdf but I did not find that option 
Otherwise I woulda givin it a 5star I wanted to share with non app users didn’t find a way that works for that there is a button for convert to pdf but that just makes the app crash and nothing happens",,,,,,,,,2024-02-22T02:32:48,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/6443742539/ios/ratingsResponses?reviewId=10958713962,https://appfollow.io/app/74039/review/244690213?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565764?review_id=244690213
2024-02-20T02:43:32,6443742539,Freeform,us,en,1.1,Do du du fccvbrbdbddndnsn,1,Pls read,This is just not a good quality app,,,,,,,,,2024-02-22T02:32:48,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/6443742539/ios/ratingsResponses?reviewId=10958378432,https://appfollow.io/app/74039/review/244690214?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565764?review_id=244690214
2024-02-20T01:31:29,6443742539,Freeform,us,en,1.1,chucho en honda,5,this app,"it’s unbelievable what anyone is able to do with this app , amazing.",,,,,,,,,2024-02-22T02:32:48,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/6443742539/ios/ratingsResponses?reviewId=10958204672,https://appfollow.io/app/74039/review/244690215?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565764?review_id=244690215
2024-02-20T01:07:56,6443742539,Freeform,us,en,1.1,KuNYC,5,Love.,Everything about this is great,,,,,,,,,2024-02-22T02:32:48,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/6443742539/ios/ratingsResponses?reviewId=10958148929,https://appfollow.io/app/74039/review/244690216?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565764?review_id=244690216
2024-02-20T00:47:39,6443742539,Freeform,us,en,1.1,Enalem q24,3,My review,The reason I gave it a 3 is because it could have more features. Like you can have different textures.,,,,,,,,,2024-02-22T02:32:48,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/6443742539/ios/ratingsResponses?reviewId=10958102073,https://appfollow.io/app/74039/review/244690217?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565764?review_id=244690217
