ngram,frequency
"('great', 'app')",109
"('good', 'app')",77
"('best', 'app')",74
"('love', 'app')",70
"('app', 'ever')",53
"('free', 'form')",51
"('love', 'freeform')",33
"('pretty', 'good')",32
"('dark', 'mode')",30
"('freeform', 'review')",29
"('apple', 'pencil')",24
"('drawing', 'app')",24
"('amazing', 'app')",23
"('keeps', 'crashing')",23
"('please', 'add')",23
"('best', 'drawing')",18
"('best', 'thing')",18
"('needs', 'work')",18
"('nice', 'app')",18
"('really', 'good')",18
"('good', 'start')",16
"('great', 'idea')",15
"('app', 'needs')",14
"('awesome', 'app')",14
"('could', 'better')",14
"('needs', 'improvement')",14
"('can', 'not')",13
"('doesnt', 'work')",12
"('easy', 'use')",12
"('app', 'keeps')",11
"('cool', 'app')",11
"('like', 'freeform')",11
"('one', 'thing')",11
"('useful', 'app')",11
"('worst', 'app')",11
"('best', 'game')",10
"('good', 'needs')",10
"('great', 'concept')",10
"('like', 'app')",10
"('please', 'fix')",10
"('thing', 'ever')",10
"('excellent', 'app')",9
"('game', 'ever')",9
"('good', 'idea')",9
"('ipad', 'pro')",9
"('app', 'crashes')",8
"('freeform', 'app')",8
"('freeform', 'best')",8
"('one', 'best')",8
"('really', 'like')",8
"('app', 'amazing')",7
"('could', 'use')",7
"('crashes', 'lot')",7
"('fun', 'app')",7
"('good', 'could')",7
"('great', 'start')",7
"('missing', 'features')",7
"('need', 'improvements')",7
"('notes', 'app')",7
"('review', 'freeform')",7
"('app', 'great')",6
"('cant', 'share')",6
"('dark', 'background')",6
"('doesnt', 'sync')",6
"('dont', 'know')",6
"('ever', 'used')",6
"('freeform', 'good')",6
"('freeform', 'great')",6
"('please', 'read')",6
"('app', 'apple')",5
"('app', 'best')",5
"('app', 'good')",5
"('didnt', 'download')",5
"('dont', 'like')",5
"('fountain', 'pen')",5
"('freeform', 'awesome')",5
"('great', 'needs')",5
"('great', 'tool')",5
"('im', 'sure')",5
"('like', 'notes')",5
"('love', 'free')",5
"('love', 'game')",5
"('love', 'much')",5
"('make', 'better')",5
"('needs', 'features')",5
"('needs', 'folders')",5
"('nice', 'idea')",5
"('note', 'taking')",5
"('performance', 'issues')",5
"('really', 'fun')",5
"('really', 'great')",5
"('room', 'improvement')",5
"('star', 'review')",5
"('way', 'go')",5
"('wow', 'wow')",5
