sep=,
From: 2010-02-22,Store: itunes,Cid: 188320,To: 2012-02-22,Ext_id: 414706506
Submission date,AppID,AppName,Country,Review Language,Version,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Reply Delta,Developer Reply,User,Tags,Categories,Updated,Semantic Tags,Semantic Categories,Semantic Sentiment,Notes,Likes,Dislikes,Link,Permalink,AF Link
2012-02-22T22:55:25,414706506,Google Translate,us,en,1.3.0,Aryn :D,4,Awesome!👍👍👍👍👍👍,This app has been making my life better by literally doing All my Spanish homework for me! The only thing that can be improved is the voice recognition part. I'll say a word and it will type it in as something completely different.,,,,,,,,,2022-03-01T23:10:12,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/414706506/ios/ratingsResponses?reviewId=532235437,https://appfollow.io/app/3102/review/22358097?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565767?review_id=22358097
2012-02-22T14:40:27,414706506,Google Translate,us,en,1.3.0,Polimetla,5,Awesome app,Helpful,,,,,,,,,2022-03-01T23:10:12,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/414706506/ios/ratingsResponses?reviewId=532048736,https://appfollow.io/app/3102/review/22358096?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565767?review_id=22358096
2012-02-22T06:00:23,414706506,Google Translate,us,en,1.3.0,BMC Yo,5,Great APP!!,I really enjoyed sitting around translating many fun things.  Then it worked for education as well.,,,,,,,,,2022-03-01T23:10:12,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/414706506/ios/ratingsResponses?reviewId=531903026,https://appfollow.io/app/3102/review/22358095?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565767?review_id=22358095
2012-02-21T20:23:41,414706506,Google Translate,gr,en,1.3.0,Alex kapa,1,Remove slavomacedonian,There's NOT such language!!!,,,,,,,,,2022-05-10T00:56:48,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/414706506/ios/ratingsResponses?reviewId=531870889,https://appfollow.io/app/3102/review/82784868?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565767?review_id=82784868
2012-02-21T18:30:30,414706506,Google Translate,gb,en,1.3.0,pjkingham,5,Top Quality App,"I have paid for some learn Russian & learn Turkish apps. All deleted. This app does it all. I have searched for all the usually words & phrases, all of which I have got from this app. Simply speak into it, star it & no Internet connection required to repeat all starred words & phrases. Superb app. The best is its kind available.",,,,,,,,,2022-05-09T22:10:37,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/414706506/ios/ratingsResponses?reviewId=531631243,https://appfollow.io/app/3102/review/82716493?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565767?review_id=82716493
2012-02-21T15:28:49,414706506,Google Translate,us,en,1.3.0,J 1984,1,Snooped my phone last night,This app appeared to be hacked when it wrote a word itself last night. Uninstalling probably since translations also too basic,,,,,,,,,2022-03-01T23:10:12,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/414706506/ios/ratingsResponses?reviewId=531563618,https://appfollow.io/app/3102/review/22358094?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565767?review_id=22358094
2012-02-21T14:06:17,414706506,Google Translate,gb,en,1.3.0,kis66,5,Fantastic app,"This app is brilliant. I use it for translating French/English. 
It's so good it almost makes me wonder why I am bothering to have French lessons.",,,,,,,,,2022-05-09T22:10:37,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/414706506/ios/ratingsResponses?reviewId=531532072,https://appfollow.io/app/3102/review/82716492?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565767?review_id=82716492
2012-02-21T13:42:03,414706506,Google Translate,us,en,1.3.0,G35kidd,5,Cool app,This app is awesome! Now I can finally understand what my girlfriend is saying haha jk!,,,,,,,,,2022-03-01T23:10:12,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/414706506/ios/ratingsResponses?reviewId=531523214,https://appfollow.io/app/3102/review/22358092?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565767?review_id=22358092
2012-02-21T09:50:03,414706506,Google Translate,il,en,1.3.0,Sevensys11,5,Very good,Good app,,,,,,,,,2022-05-10T00:56:49,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/414706506/ios/ratingsResponses?reviewId=531616121,https://appfollow.io/app/3102/review/82784914?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565767?review_id=82784914
2012-02-20T23:57:48,414706506,Google Translate,gb,en,1.3.0,Zaizazi,5,M J,Excellent App,,,,,,,,,2022-05-09T22:10:37,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/414706506/ios/ratingsResponses?reviewId=531259361,https://appfollow.io/app/3102/review/82716491?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565767?review_id=82716491
2012-02-20T22:54:15,414706506,Google Translate,us,en,1.3.0,jen90822,5,Cool,I love this app,,,,,,,,,2022-03-01T23:10:12,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/414706506/ios/ratingsResponses?reviewId=531233673,https://appfollow.io/app/3102/review/22358091?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565767?review_id=22358091
2012-02-20T22:29:55,414706506,Google Translate,us,en,1.3.0,AoDoD,5,Pretty Good,"Might need to fix a couple stuff that people have said, but overall its a good app.",,,,,,,,,2022-03-01T23:10:12,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/414706506/ios/ratingsResponses?reviewId=531223598,https://appfollow.io/app/3102/review/22358440?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565767?review_id=22358440
2012-02-20T22:00:37,414706506,Google Translate,us,en,1.3.0,J€N,4,Useful,Love that it's free.  Need to have Cantonese Chinese.  That is the one I need the most.,,,,,,,,,2022-03-01T23:10:12,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/414706506/ios/ratingsResponses?reviewId=531211282,https://appfollow.io/app/3102/review/22358439?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565767?review_id=22358439
