ngram,frequency
"('journal', 'app')",236
"('notes', 'app')",148
"('would', 'love')",128
"('journal', 'entries')",109
"('available', 'ipad')",100
"('would', 'like')",100
"('would', 'great')",89
"('search', 'function')",80
"('love', 'app')",79
"('app', 'would')",78
"('day', 'one')",78
"('would', 'nice')",77
"('please', 'add')",74
"('great', 'app')",72
"('journaling', 'app')",71
"('like', 'app')",69
"('use', 'app')",60
"('journal', 'entry')",59
"('like', 'notes')",58
"('really', 'like')",56
"('using', 'app')",55
"('app', 'great')",53
"('apple', 'pencil')",53
"('id', 'like')",51
"('ipad', 'version')",49
"('dont', 'want')",46
"('like', 'see')",46
"('love', 'see')",44
"('ipad', 'mac')",40
"('app', 'ipad')",39
"('app', 'like')",39
"('go', 'back')",39
"('good', 'app')",39
"('wish', 'could')",39
"('face', 'id')",38
"('can', 'not')",37
"('health', 'app')",37
"('looking', 'forward')",37
"('calendar', 'view')",35
"('easy', 'use')",35
"('mac', 'ipad')",35
"('app', 'good')",34
"('im', 'sure')",34
"('like', 'able')",34
"('love', 'able')",34
"('search', 'bar')",33
"('would', 'make')",33
"('app', 'available')",32
"('mental', 'health')",32
"('make', 'app')",31
"('make', 'available')",31
"('please', 'make')",31
"('able', 'add')",30
"('app', 'needs')",30
"('features', 'like')",29
"('new', 'app')",29
"('id', 'love')",28
"('seems', 'like')",28
"('add', 'search')",27
"('app', 'far')",27
"('app', 'much')",27
"('every', 'day')",27
"('look', 'back')",27
"('use', 'ipad')",27
"('would', 'also')",27
"('would', 'really')",27
"('app', 'apple')",26
"('feel', 'like')",26
"('able', 'use')",25
"('add', 'photos')",25
"('app', 'really')",25
"('great', 'idea')",25
"('please', 'fix')",25
"('search', 'feature')",25
"('ability', 'add')",24
"('also', 'would')",24
"('could', 'use')",24
"('every', 'time')",24
"('using', 'notes')",24
"('write', 'journal')",24
"('app', 'could')",23
"('apple', 'app')",23
"('dont', 'like')",23
"('even', 'better')",23
"('journal', 'apps')",23
"('journaling', 'apps')",23
"('text', 'formatting')",23
"('app', 'also')",22
"('app', 'im')",22
"('app', 'journal')",22
"('could', 'add')",22
"('like', 'idea')",22
"('multiple', 'journals')",22
"('one', 'thing')",22
"('social', 'media')",22
"('state', 'mind')",22
"('ipad', 'well')",21
"('one', 'day')",21
"('app', 'use')",20
