sep=,
From: 2012-02-22,Store: itunes,Cid: 188320,To: 2024-02-22,Ext_id: 1514844618
Submission date,AppID,AppName,Country,Review Language,Version,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Reply Delta,Developer Reply,User,Tags,Categories,Updated,Semantic Tags,Semantic Categories,Semantic Sentiment,Notes,Likes,Dislikes,Link,Permalink,AF Link
2024-02-20T08:53:08,1514844618,Translate,gb,en,1.2.3,iBarryJ,1,Translate Toes Up,"This app is not working anymore 
Have reloaded the app and downloaded languages but it does nothing 0 ! 
Yes my iOS is the latest
Expect better and going to use Google translate 
Adios tontos",,,,,,,,,2024-02-21T21:12:43,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1514844618/ios/ratingsResponses?reviewId=10959192481,https://appfollow.io/app/3740/review/244652945?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565763?review_id=244652945
2024-02-20T04:49:06,1514844618,Translate,us,en,1.2.3,Deep S Sidhu,2,Punjabi,Please add Punjabi Language,,,,,,,,,2024-02-21T21:12:37,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1514844618/ios/ratingsResponses?reviewId=10958666508,https://appfollow.io/app/3740/review/244652893?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565763?review_id=244652893
2024-02-20T01:46:56,1514844618,Translate,us,en,1.2.3,The Notorious D.A.N.,2,Needs more languages,The app is fine but they need to add more languages to make it somewhat competitive with Google Translate.,,,,,,,,,2024-02-21T13:01:25,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1514844618/ios/ratingsResponses?reviewId=10958241966,https://appfollow.io/app/3740/review/244515645?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565763?review_id=244515645
2024-02-20T00:08:48,1514844618,Translate,us,en,1.2.3,@12345689966856,1,Always “offline”,"How come every time I get on this app with cellular and/or wi-fi, it still says “download offline languages” which makes no sense since I am connected and also, it takes a long time to download a single language, this would be a good app without this problem. Try your best to fix it please, thank you!",,,,,,,,,2024-02-21T13:01:25,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1514844618/ios/ratingsResponses?reviewId=10958013420,https://appfollow.io/app/3740/review/244515646?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565763?review_id=244515646
2024-02-19T20:05:53,1514844618,Translate,gb,en,1.2.3,\0_0/,1,Painful to use,"Not only does this app not have the ability to identify languages before identifying them, but using the camera is painful. I was trying to translate a bottle (written in Korean) to English, but it just scanned the text. I considered the possibility that I was using the app wrong and I switched things around and messed with the settings but it still couldn’t translate my bottle. I then considered that maybe I had selected the wrong language, but not to worry because it couldn’t identify the writing in any of the available languages. I’m begging you just to use google translate, we all love to hate it but you have to admit it makes life 10000% easier being able to use an actually functioning app.",,,,,,,,,2024-02-21T13:01:22,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1514844618/ios/ratingsResponses?reviewId=10957443717,https://appfollow.io/app/3740/review/244515600?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565763?review_id=244515600
2024-02-19T18:52:11,1514844618,Translate,no,en,1.2.3,DLMOfficial,1,Rather pay 10$ a month then this,I cant Translate Polish to english with the camera,,,,,,,,,2024-02-21T13:59:33,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1514844618/ios/ratingsResponses?reviewId=10957244374,https://appfollow.io/app/3740/review/244518078?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565763?review_id=244518078
2024-02-19T18:27:31,1514844618,Translate,us,en,1.2.3,6breezy.@,1,Do not download!!!,Does NOT work. Charged multiple subscription fees!,,,,,,,,,2024-02-21T13:01:25,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1514844618/ios/ratingsResponses?reviewId=10957174856,https://appfollow.io/app/3740/review/244515648?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565763?review_id=244515648
2024-02-19T17:36:54,1514844618,Translate,sa,en,1.2.3,Jameel 38,4,Add Urdu language,"Good app need to improve more languages like Urdu 
thanks",,,,,,,,,2024-02-21T13:59:31,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1514844618/ios/ratingsResponses?reviewId=10957027828,https://appfollow.io/app/3740/review/244518071?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565763?review_id=244518071
2024-02-19T14:52:14,1514844618,Translate,us,en,1.2.3,dockding,1,This app is horrible,I work security at a gatehouse so I get a lot of people who I need to understand. Every time I open this app and try to use Spanish translation it blocks out the translation and does not work. I try closing it and opening again but this app only works when it wants to,,,,,,,,,2024-02-21T13:01:25,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1514844618/ios/ratingsResponses?reviewId=10956506773,https://appfollow.io/app/3740/review/244515649?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565763?review_id=244515649
2024-02-19T14:39:01,1514844618,Translate,ua,en,1.2.3,Maryna Kipa,2,Work bad,Last time it’s doesn’t translate!!! And I can’t add more languages! Catalan and Ukrainian for example,,,,,,,,,2024-02-21T04:01:46,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1514844618/ios/ratingsResponses?reviewId=10956464507,https://appfollow.io/app/3740/review/244394075?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565763?review_id=244394075
