ngram,frequency
"('support', 'ukrainian', 'support')",223
"('ukrainian', 'support', 'ukrainian')",223
"('use', 'google', 'translate')",48
"('add', 'hindi', 'language')",32
"('add', 'ukrainian', 'language')",29
"('app', 'doesnt', 'work')",29
"('turkish', 'language', 'support')",29
"('please', 'add', 'hindi')",28
"('please', 'add', 'ukrainian')",28
"('please', 'add', 'languages')",26
"('google', 'translate', 'app')",24
"('star', 'star', 'star')",24
"('add', 'indian', 'languages')",21
"('like', 'google', 'translate')",20
"('google', 'translate', 'instead')",19
"('google', 'translate', 'better')",16
"('better', 'google', 'translate')",15
"('compared', 'google', 'translate')",15
"('language', 'please', 'add')",15
"('copy', 'translated', 'text')",14
"('download', 'offline', 'languages')",13
"('using', 'google', 'translate')",13
"('add', 'urdu', 'language')",12
"('app', 'ive', 'ever')",11
"('can', 'not', 'use')",11
"('google', 'translate', 'much')",11
"('ive', 'ever', 'used')",11
"('languages', 'please', 'add')",11
"('latin', 'american', 'spanish')",11
"('please', 'add', 'language')",11
"('please', 'add', 'urdu')",11
"('add', 'turkish', 'language')",10
"('app', 'doesnt', 'even')",10
"('can', 'not', 'translate')",10
"('spoken', 'language', 'world')",10
"('worst', 'app', 'ever')",10
"('add', 'languages', 'like')",9
"('add', 'persian', 'language')",9
"('apple', 'translate', 'app')",9
"('doesnt', 'even', 'work')",9
"('english', 'english', 'spanish')",9
"('get', 'google', 'translate')",9
"('still', 'doesnt', 'work')",9
"('add', 'greek', 'language')",8
"('add', 'uzbek', 'language')",8
"('app', 'google', 'translate')",8
"('back', 'forth', 'languages')",8
"('bad', 'bad', 'bad')",8
"('cant', 'download', 'languages')",8
"('cant', 'even', 'translate')",8
"('doesnt', 'translate', 'anything')",8
"('doesnt', 'work', 'anymore')",8
"('dont', 'waste', 'time')",8
"('every', 'time', 'try')",8
"('hindi', 'language', 'available')",8
"('please', 'add', 'persian')",8
"('please', 'add', 'uzbek')",8
"('translate', 'english', 'spanish')",8
"('want', 'use', 'app')",8
"('app', 'stopped', 'working')",7
"('back', 'google', 'translate')",7
"('can', 'not', 'download')",7
"('can', 'not', 'even')",7
"('cant', 'use', 'app')",7
"('doesnt', 'make', 'sense')",7
"('doesnt', 'work', 'offline')",7
"('doesnt', 'work', 'well')",7
"('download', 'google', 'translate')",7
"('every', 'single', 'time')",7
"('google', 'translate', 'way')",7
"('hate', 'hate', 'hate')",7
"('im', 'trying', 'learn')",7
"('list', 'available', 'languages')",7
"('much', 'better', 'google')",7
"('please', 'add', 'indian')",7
"('please', 'please', 'please')",7
"('spanish', 'english', 'english')",7
"('support', 'ukrainian', 'language')",7
"('switch', 'back', 'forth')",7
"('switch', 'two', 'languages')",7
"('translate', 'app', 'doesnt')",7
"('translate', 'doesnt', 'work')",7
"('translate', 'much', 'better')",7
"('translation', 'unavailable', 'moment')",7
"('turkish', 'language', 'option')",7
"('add', 'tamil', 'language')",6
"('app', 'easy', 'use')",6
"('app', 'still', 'doesnt')",6
"('app', 'works', 'great')",6
"('doesnt', 'even', 'translate')",6
"('doesnt', 'work', 'either')",6
"('download', 'languages', 'app')",6
"('every', 'time', 'use')",6
"('give', 'urdu', 'language')",6
"('google', 'translate', 'also')",6
"('hindi', 'language', 'app')",6
"('iphone', 'pro', 'max')",6
"('language', 'apple', 'translate')",6
"('language', 'every', 'time')",6
"('language', 'translate', 'app')",6
"('language', 'want', 'translate')",6
"('languages', 'can', 'not')",6
"('languages', 'offline', 'use')",6
"('one', 'language', 'another')",6
"('please', 'add', 'greek')",6
"('support', 'greek', 'language')",6
"('support', 'traditional', 'chinese')",6
"('swap', 'languages', 'button')",6
"('translate', 'spanish', 'english')",6
"('translate', 'way', 'better')",6
"('ukrainian', 'language', 'support')",6
"('use', 'app', 'translate')",6
"('use', 'google', 'translator')",6
"('uzbek', 'language', 'please')",6
"('add', 'punjabi', 'language')",5
"('app', 'can', 'not')",5
"('app', 'doesnt', 'support')",5
"('app', 'doesnt', 'translate')",5
"('app', 'hindi', 'language')",5
"('app', 'limited', 'languages')",5
"('app', 'needs', 'languages')",5
"('app', 'please', 'add')",5
"('cant', 'flip', 'languages')",5
"('doesnt', 'work', 'properly')",5
"('download', 'languages', 'offline')",5
"('downloaded', 'google', 'translate')",5
"('even', 'download', 'languages')",5
"('give', 'zero', 'stars')",5
"('gon', 'na', 'get')",5
"('google', 'translate', 'far')",5
"('google', 'translate', 'lot')",5
"('google', 'translate', 'please')",5
"('hindi', 'language', 'translation')",5
"('im', 'gon', 'na')",5
"('im', 'trying', 'translate')",5
"('indian', 'languages', 'app')",5
"('indian', 'languages', 'available')",5
"('indian', 'languages', 'like')",5
"('install', 'google', 'translate')",5
"('language', 'like', 'hindi')",5
"('language', 'switch', 'button')",5
"('language', 'translation', 'app')",5
"('languages', 'available', 'app')",5
"('languages', 'doesnt', 'translate')",5
"('languages', 'like', 'google')",5
"('languages', 'use', 'offline')",5
"('least', 'add', 'hindi')",5
"('like', 'app', 'lot')",5
"('mode', 'doesnt', 'work')",5
"('need', 'add', 'languages')",5
"('please', 'add', 'dutch')",5
"('please', 'add', 'tamil')",5
"('please', 'fix', 'bug')",5
"('put', 'turkish', 'language')",5
"('quickly', 'switch', 'languages')",5
"('really', 'like', 'app')",5
"('sometimes', 'need', 'translate')",5
"('spanish', 'latin', 'america')",5
"('thai', 'language', 'please')",5
"('third', 'spoken', 'language')",5
"('time', 'try', 'translate')",5
"('translation', 'app', 'ive')",5
"('used', 'google', 'translator')",5
"('want', 'translate', 'english')",5
"('want', 'translate', 'something')",5
"('wont', 'let', 'download')",5
"('worst', 'translation', 'app')",5
"('worst', 'translator', 'app')",5
"('would', 'give', 'stars')",5
"('would', 'like', 'see')",5
