"application_id";"title";"description"
"1384251818";"Whiteboard Note";"Simple whiteboard!

? Write to chose a color.
? You can change the size of the slider.
? You will be able to save the image.

---

supportURL:
https://www.facebook.com/apphuttt/"
"1575025855";"HeyHi Whiteboard";"HeyHi is an app with video, screensharing and interactive whiteboard. Best app built specifically for collaborative work and learning. Get invited to join a video session in a click. 

Get connected, learn and collaborate wherever you are. Be it small group classroom collaboration or big group lecture, learning and collaboration continue over face-to-face video, screensharing, whiteboard and instant messaging. 

You could be a teacher providing homework help. You could be a designer collaborating on a piece of design. You could be a coach teaching a master class to audience all around the world. You could be a teacher getting professional development from another teacher in the next city. You could be a student in Thailand engaged with a teacher in Singapore. Wherever you are, learning and collaboration never stops. 

Key Features
- Works on web and iPad
- Screenshare from desktop
- Fully interactive whiteboard with unlimited writing space and multiple screens
- Instant messaging within whiteboard environment
- Easy scheduling of meetings
- Easy 1 click to get into session
- User-owned library of content and materials for ease of use


Have a question, contact us at hello@heyhi.sg"
"576124115";"Lekh: intelligent whiteboard";"Lekh is an online whiteboard and intelligent diagramming tool for iPad, iPhone and Mac. It empowers you to express your ideas simply by sketching shapes with your finger. The best in class shape recognition technology of the Lekh will recognize your rough sketches and will convert them into shapes.
 
You can use Lekh to:
• Draw diagrams on device in offline mode
• Online whiteboarding for visual collaboration
 
Offline mode:
You can use the offline mode to draw diagrams. You can use smart drawing mode to simply sketch and get high quality diagrams like flowchart, block diagrams, system architecture and mindmaps. You can also drag drop shapes from the shape library to create diagrams like UML, Network, UI Wireframe, flow chart, organizational chart, business process diagram, venn diagram, mind maps and any kind of illustrations.
 
Online mode:
You get a shared canvas (we call it Lekh Board) on which multiple users can draw at the same time. You can draw anything on it. You can draw all kinds of diagrams that you can draw in offline mode or you can simply scribble on it. You can also add sticky notes on the canvas. You can control the sharing of the board that means you can set write permission or read only permission to others.
 
Use the online mode for following:
• Store your drawings on the cloud and access them from other devices such as desktop, any mobile device etc.
• Collaborate with others in real time. Multiple users can draw the canvas at the same time.
• Share your drawings with others.
 
Lekh’s powerful and unique shape recognition engine can recognize various shapes and connections. Draw shapes and connections by dragging your finger on iPad/iPhone and the Lekh will recognize drawing and will convert them magically into beautiful shapes.
 
These shapes will be recognized: Line, Polyline, Polygon, Bezier Curve, Circle, Ellipse, Rectangle, Triangle, All types of connection lines between shapes, drawing / erasing arrows etc. For the full list please check in-app help.
 
You can export the drawings in various formats. The supported formats are jpg, png, pdf, svg and Lekh.
 
We appreciate every feedback we receive. Your constant interest and improvement ideas keep the updates coming.
 
Check out https://lekh.app for more info.
 
Reach out to us at info@lekhapp.com for any query.
 
Visit our youtube channel https://www.youtube.com/channel/UCiNazNZGwEkefO_kJXXdX6g for video demos."
"1574025915";"NewCanvas";"NewCanvas enables you to create a new empty canvas with right-click context menu. 

The canvas you created will be saved as an image file and opened in Preview.app. When creating a canvas, you can set the file name, image format, width, height, and fill color.

Note1: NewCanvas requires the permission of Finder Extensions in system preferences.
Note2: The developer may end support for older macOS without notice."
"1561575283";"D-Canvas";"?D–Canvas?????UFJ???????????????(DC)???????????????????
??(????)??????????????????????????DC????????????
???????2022??????????(??:???????????????)????????

??D–Canvas???????
(1)???????????????
 ???????????????????????????

(2)????DC?????????????
 ????”??”?”????”????????

(3)???????????????????
 ????????????????????

?????
?iOS 14?15?16
??????????OS???????????????????????????????????????????????????????????????????
?????????????????????????????????????????????????

????
???????????????????????????(????????????????????)????UFJ????????????????????????????????????????????????????
????????????????????????????????????
?????????????????????????????????????????????????????????????(?????????????????????????????????????????????????????)
????????????????????????????????????
???????????Jailbreak???????????????????????????
????????????????????????????????????

????????
  ??UFJ???? ??????????
  0800-300-4411 ??? 028-307-5147(?????)
  ???????? ??  9:00?20:00
  (????)   ??  9:00?17:00"
"1270664568";"Picsy - Photo Books & Canvas";"Photo Gifts and Photo Album Maker App
Easiest app to create personalized photo products in minutes. We print your favorite photos with high quality in just a few clicks and deliver them to your address - with a smile.

Whether it is a birthday, marriage anniversary, vacation, or any life event, Picsy is the perfect photo gift app to put a smile on the faces of people you love!

Picsy offers 150+ special designs for customized photo albums and calendars- an easy way to create super print quality & quickly deliver your printed favorite moments to your doorstep.

Beautiful Long-lasting Photobook :
Make stunning printed photo books online with Picsy. Be it your family gathering, vacation, anniversary, birthday, or wedding- choose from 150+ design templates, upload your photos and place an order.

Our photobooks are available in 5 different sizes with softcover and hardcover styles where you can add up to 450 photos.

What Makes Picsy Photo Books Special?
- Perfect way to save your happy memories
- Event-based designs for personalized photo books
- Create beautiful customized photobooks in no time
- High quality printing and binding materials
- We deliver printed photo books worldwide

Extraordinary Canvas Prints:
Decorate your walls with personalized canvas prints. Create beautiful wall art by printing photos on canvas. Canvas prints are ideal to display your special moments. Upload photo, select size and wrap style for canvas prints, and place an order! We deliver your canvas prints with utmost care.

Delightful Photo Calendars:
Cherish your favorite memories every day with personalized photo calendars. Make high quality desk calendars for home and office to keep special moments close to your eyes. Create for yourself or gift photo calendars to family and friends to stay happy - all year long.

Classic Photo Prints:
Don’t just save the best moments of your life on phone, but print them on high-quality paper. Available in five sizes and with various border colours. Select size, upload photos, preview and order. Photo prints are a loved option for home décor too.

Blazing Framed Vinyl Prints:
It’s time to bring back the colours of your long-forgotten memories with our premium framed vinyl frames. It offers 240 GSM museum grade quality paper put on a PVC sheet of 6mm depth. Available in more than 17 sizes, customize this home décor that suits your walls the best.

Glossy Acrylic Photo Prints:
Turn your favorite photos into an art piece with Picsy’s Acrylic Photo Prints. It is a high-quality magnificent décor with required installation elements included with it. The 3-5 mm thick acrylic will give depth, giving your lonely walls a desired companion.

Durable Canvas Floating Frames:
It is an excellently durable decoration that glamorizes both homes and offices! With Picsy's canvas floating frames, you can complete your walls and enter the world of aesthetics giving your memories a 3D vibe to it. Choose, customize and place an order.

Why Choose Picsy?
1. Premium print quality
2. Easy order placement process
3. 150+ special templates for photo books
4. Different wrap styles for smooth canvas printing online
5. Unlimited photo storage capacity
6. Affordable rates and best discounts
7. 100% secure payment
8. Worldwide delivery
9. Strict privacy policy: We take extra care to maintain the privacy of your photos
10. Return Policy: We assure to reprint your order if you are unhappy with final products

With 1000+ verified reviews, Picsy is loved by customers to create personalized photobooks, calendars, canvas prints, framed vinyl prints, acrylic prints, canvas floating frames, and photo prints.

We love preserving your happy moments for a lifetime. 100% Happiness Guaranteed!

Reach us at: hello@picsy.in

We deliver Custom Photo Products in Bangalore, Chennai, Hyderabad, Ahmedabad, Mumbai, New Delhi, Kolkata, Pune, and other parts of the World."
"1099076463";"Slate - Canvas Recorder";"iPhone realtime canvas record app, Slate.

Introduce Slate by Good Effect that hundred thousands of download record by E-book authoring tool Book Writer, Fairy Tale.

Do you want to write what you want to show like a telling? You can improve your expression by using procedure that completing words by typing a letter by letter.

Slate record your text input procedure as you see and create a movie.

Method of use is very simple. Make a scene by select Photo, Text, Music item and put them the canvas. And Select record button then your screen will recorded as you see.

Share your movie that created yourself. Your video will clipped as square so it would be nice to using Instagram, Facebook.

You can create fun movie by using diverse effect. Show your sense!

Please follow Instagram ID @slateapp to get information and wonderful movie.

Please visit http://goodeffect.com for more information. Or contact to jameslee@goodeffect.com.
Require iOS 9, iPhone 5S above."
"401352789";"Wireless Whiteboard for iPhone";"The Wireless Whiteboard™ enables you to use your iPad/iPhone as a whiteboard. You can use a white background or a photo or document imported into this app. Print your whiteboard, or send it via fax, postal mail, or postcard; or project it onto a big screen via a computer-connected projector. This app is perfect for giving presentations and demos.

FEATURES

    • View/print many document types, including PDF, Word, Excel, bitmap, TIFF, text, HTML, Open Office, GIF, and encapsulated PostScript.
    • Create new text documents.
    • Transfer documents between your computer and this app via a web browser.
    • Print to networked or shared printers. No additional software is necessary. This app includes support for over 1,400 printers from HP, Epson, Canon, Samsung, Brother, Lexmark, Xerox, Ricoh, Oki, Kyocera, Infotec, NRG, Lanier, and many more!
    • Send faxes to over 220 countries and territories worldwide - no subscription required![1]
    • Get a professional USA-based toll-free number for your incoming faxes and voicemail.[2]
    • Send postcards and letters via USPS (postal mail).
    • Scribble on a white background or on a photo, in a variety of colors, brush sizes and opacities.
    • Project your whiteboard via a computer-connected projector.
    • Save your whiteboard for future use.
    • Import and annotate images. (You cannot currently annotate documents such as PDFs).
    • Send your whiteboard as a postcard via USPS first class mail.


DOES THIS APP SUPPORT MY PRINTER?
See the list of printer models this app supports at http://www.ndilitechnologies.com/help.html.

Optional Toll Free Number Subscription Notes: 
• Title: Toll-Free Number Subscription
• Length: 1,3, 6 or 12 month options 
• Price: $14.99,$39.99,$79.99,$14.99/year. 
• Payment will be charged to iTunes Account at purchase confirmation
• Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period 
• Account will be charged for renewal within 24-hours prior to the end of the current period
• No cancellation of the current subscription is allowed during active period 
• Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription.
• Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user’s Account Settings after purchase 
• Terms Of Use: https://n1.ndili.com/termsofuse.html
• Privacy Policy: http://www.ndilitechnologies.com/privacy

[1] Each fax unit purchases a one-page fax that can be sent in 60 seconds or less to a destination in the United States or Canada. The number of fax units needed to transmit a one-page 60-second fax to a destination in another country is listed in the rate card within this app. Please note that a page that requires a longer transmission time (for example, a page containing high resolution graphics) consumes additional fax units.
[2] To receive voicemail or faxes, you must setup an incoming toll-free phone number. The toll-free phone number requires a monthly subscription. 60 minutes/month are included free with subscription. Toll-free numbers are USA-based numbers and are accessible in the United States only."
"962263418";"Blue Ocean Leadership - Leadership Canvas";"The Leadership Canvas is a central, analytic tool of Blue Ocean Leadership, developed by W. Chan Kim and Renée Mauborgne. Here we introduce you to the Blue Ocean Leadership app, an easy, efficient, and highly effective platform that enables you to evaluate your current leadership reality and create a new, effective leadership profile by collaborating with teammates. Providing intuitive touch controls and a clean interface, the Leadership Canvas is an excellent analytic app for developing and managing your leadership profiles so that you can unlock the ocean of unrealized talent and energy in your organization.  What are you waiting for?"
"1597368784";"Whiteboard";"This is an easy solution to keep track of stock items needing to be re-stocked.

STEPS:

1. Create a Shopping List
2. Items can scanned or added by manually choosing from a drop down list
3. You can return to the App and add to the list at any time 
4. When ready simply send your order to your Account Manager from the App"
