application_id;title;description
1111993613;Dump Trump Dump vs Basketball Messenger : FREE;"- Donald Trump is an American businessman, politician, television personality, author, and the presumptive nominee of the Republican Party for President of the United States in the 2016 election .
- I know , I know . messenger basketball got nothing on Donald Trump ! And I don't have any problems with Mr Donal Trump and Lady Hillary Clinton . To be honest I love both of them . I made this game just for fun and I hope you guys have happy time just like I had . So easy to play and you'll see this game just like a Messenger Basketball game because I have learn a lot from my game Messenger Basketball 2016 .
- Trust me ! This game is very enjoyable . I can't stop laughing and shut my mouth everytime I play this game .
What a stupid and funny game !!!
- Like I said in the game Basketball Messenger 2016 , I don't know how to play basketball when I made this game but 
This is the most fun ,craziest Dump Donald Trump and messenger basketball I've played !!! 
- If you have free time please take a look at my series game ( Dump Trump Dump Game , Hillary Dump Game and more ...) . You can't punch Trump or punch Hillary but you can tap and make them jump .
- This is not Trump on the run game or Hillary on the run game . If you want something more crazy you can search for ""Trump on the run , Trump on the run game , Trump on run , Trump games , Donald Trump , Trump Donald"" ... or something like that .
Have fun !"
1137958278;IM+ All-in-One Messenger;"IM+ supports Zoom, WhatsApp, Telegram, Facebook Messenger, Facebook, Twitter, Slack, Skype, Gmail, Outlook, Hangouts, LinkedIn Messaging, Instagram, SnapMap, WeChat, ChatWork, HipChat, and Facebook Pages in one simple app.

Log in once into your favorite messengers and video communicators, and gone will be the days of endless app switching.

Some of the best features:
Video and voice calls on Zoom and Skype from one app
Navigate through your accounts using the sidebar or hotkeys 
Add multiple accounts per service, e.g. add a couple Twitter profiles
Distinguish messengers easier with color tags and filter them by profile tags
Support for file sharing
Manage notification settings for all accounts at once or per service 
Great for remote workers

The whole IM+ experience was designed for Mac OS X. 
If IM+ improves your messaging life, we would appreciate an App Store review. Thank you!

IM+ for iPhone has been used by over 10 million people and featured on Wired, Engadget, TechCrunch, Forbes, Bloomberg, The New York Times, and many more. And you will love IM+ on Mac too!

Learn more about IM+ at www.shape.ag
We listen to you, so send us your feedback, questions and feature requests on Twitter @implus or Facebook www.facebook.com/plusim"
1267815033;Sticker Maker for Messengers;"Ever wanted to make a sticker of yourself, your friends or your family? Now you can do it and very easily! 
You can create any sticker out of the photo library or your camera with a few taps and send it to who ever you want either on the iMessage app or share it everywhere you want.

Also you can export and install the stickers you make on WhatsApp!

The app includes a great photo editor to make very cool stickers with beautiful design and icons!

So what are you waiting for? Download Sticker Maker for iOS and start making your own unique great Stickers for both iMessage and WhatsApp!"
1484963825;VLN Team Messenger;The official notice board of the VLN race control contains useful documents and important messages. For participating teams only, registration required.
1080933956;lollicam for Messenger;"lollicam for messenger is how you chat with emoticons inside Facebook Messenger!
Tired of editing videos in your mobile phones? Wanna create awesome selfie videos to share on Facebook Messenger? Let us show you the funniest and easiest way to spice up your everyday videos with special video filters, VFX effects, stickers and even your own GIF that makes you LOL.

“lollicam” is a mobile video cam app, full of creative technologies and cinematic contents. Now you can make your daily videos into a movie with just a few touches. lollicam will make you LOL with your friends and family! Thanks to our real-time editing feature, you don’t need to edit your videos meticulously on a small mobile phone screen any more.

lollicam will be the best all-in-one video cam app to turn your everyday moments into a movie.

? Share your selfie on Messenger
Talk to your friends through video selfies with emoji stickers. More than 400 emjoi sitkcers and cinematic effects help you to express your emotion.

? Real-time video selfie creation and editing
Our pre-processing technology allows you to wear and enjoy all of our video stickers and VFX effects real-time even before recording. Creating and editing short-form videos everyday have never been easier!

? Face-tracking sticker and Hollywood style cinematic effect
Share your own story with our funny face-tracking stickers and Hollywood style cinematic effects. You will LOL!

? Easy-to-make animated GIF or Cinemagraph
Different from other GIF makers, lollicam lets you to create your own animated GIF or emoji style Cinemagraphs instantly on your face with funny stickers and effects. Create GIFs or Cinemagraphs easily and express yourself with unique animated emojis for your daily messaging and social media.

The main features of “lollicam” are:

- Selfie Video Mode : Easy to make the best looking video selfie by our own facial recognition engine
- More than 30 video filters : Best optimized to produce unique and awesome daily videos 
- More than 200 stickers and VFX effects: Hollywood style contents created by our own VFX technology
- GIF and Cinemagraph on your face: Make your friends LOL with your own GIF or Cinemagraph 
- Club filters : Enjoy your nightlife selfies with technically advanced night filters 
- Random select : Change stickers randomly with just a simple touch. 
- Timelapse : Easily Create timelapse videos by selecting 2x, 4x or 6x modes
- Quick switching cameras : Tap screen twice to switch between front and back camera. 
- Easy sharing : Share your contents through Facebook messengers with just one touch

“lollicam” the ultimate Video Selfie Cam that will bring revolutionary Hollywood style fun into your everyday life! We will totally make you LOL with our unique contents :)"
1281345023;SonicMessenger;"SonicMessenger LLC is a technology company that has pioneered data transmission using sound waves. 
Our proprietary and patented technology can send data securely over loudspeakers in almost any environment. The SonicTones™ are sound waves that are inaudible to most humans.
Our technology enables our customers to easily connect with their mobile customers to create a whole new “in-store-experience” by providing valuable information, offers, promotions and many more cool things.

Contact us for more information.

rtiv@sonicmsgr.com"
1079505369;Crisis Messenger;"Crisis Messenger is an easy-to-use GPS Tracking solution, designed to keep you connected to our Crisis24 Situation Center at the touch of a button. 

Crisis Messenger’s features include:
- Instant transmission of your smartphone’s GPS position (activated by you)
- Direct calling to a phone number of your choice
- Text-messaging (pre-programmed and custom messages)
- Alert signal

Crisis Messenger is an exclusive service for Crisis24-contracted companies and their employees."
1459241577;Channelize Real-time Messenger;"Channelize is the best real-time messaging app allowing you to send messages and make calls for free. No phone numbers or email address required, just pick a username.

You're going to fall in love with Channelize by using the following features:

Interact with each other using Text Chat, Video and Voice Calling.
Share Photos & Videos taken from camera or gallery.
Send Voice Messages, Stickers and GIFs.
Share Location
Group Messaging
Typing indicator
Delivery & Read Receipts

For more features, visit: https://channelize.io/product

If you’re seeking a perfect Messaging API and Chat SDK to integrate real-time messaging to your digital products, then Channelize.io is for you.
Channelize.io adds Rich User-to-User Messaging, Video and Voice Calling into your Mobile Apps & Websites and achieves an amazing solution in just a few minutes, to Increase User Engagement and Enable new Revenue Streams for your business."
428415139;The Daily Messenger;"From critically acclaimed storytelling to powerful photography to engaging videos — The Daily Messenger app delivers the local news that matters most to your community.

APP FEATURES:
• Access all of our in-depth journalism, including things to do around town, sports coverage from high school to the pros, and much more.
• Enjoy a streamlined, fast-loading experience that makes it easy to view the stories, photos, and videos that matter to you.
• Get breaking news, sports scores, and weather alerts with real-time notifications tailored to your interests.
• Customize your experience by saving your favorite stories, adjusting text size, using night mode, or reading offline.

MORE INFORMATION:
• Privacy Policy: http://cm.mpnnow.com/privacy/
• Terms of Service: http://cm.mpnnow.com/terms/
• Questions or Comments: mobilesupport@gannett.com"
412710421;Talkbox Messenger;"Talkbox is a chatting app made with heart <3. We started as the world’s first voice messenger, and since then we are passionate about building a fast and intuitive messenger for people to connect.

Today we have brought to you a brand-new experience of using Talkbox. Much simpler, much modern way for you to chat with your friends, acquaintances, loved ones. Simply log in, find/add your friend and start building relationships again.


What functions do Talkbox offers:

- We love voice messages. That's why we focus on building asynchronous voice chat from day one, and it is fast.
- Send direct message to your friend and family using text, voice, image, or even location messages.
- Talkbox group chat supports up to 200 people. Perfect to gather all your friends or forks from your group.
- Lena is also a friend of yours now, try to be nice to her :)

Keep happy talkbox-ing!

------------------------------

We love to hear from you.
Simply go to https://talkboxapp.com and tell us!

------------------------------"
